timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,préviens,préviens,prévient,préviens,préviens,prévient,,,,
IND-IM,prévenais,prévenais,prévenait,prévenais,prévenais,prévenait,,,,
IND-FS,préviendrai,préviendras,préviendra,préviendrai,préviendras,préviendra,,,,
IND-PS,prévins,prévins,prévint,prévins,prévins,prévint,,,,
SUB-PR,prévienne,préviennes,prévienne,prévienne,préviennes,prévienne,,,,
SUB-IM,prévinsse,prévinsses,prévînt,prévinsse,prévinsses,prévînt,,,,
CON-PR,préviendrais,préviendrais,préviendrait,préviendrais,préviendrais,préviendrait,,,,
IMP-PR,,préviens,,,préviens,,,,,
PAR-PR,,,prévenant,,,prévenant,,,,
