timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,prévois,prévois,prévoit,prévois,prévois,prévoit,,,,
IND-IM,prévoyais,prévoyais,prévoyait,prévoyais,prévoyais,prévoyait,,,,
IND-FS,prévoirai,prévoiras,prévoira,prévoirai,prévoiras,prévoira,,,,
IND-PS,prévis,prévis,prévit,prévis,prévis,prévit,,,,
SUB-PR,prévoie,prévoies,prévoie,prévoie,prévoies,prévoie,,,,
SUB-IM,prévisse,prévisses,prévît,prévisse,prévisses,prévît,,,,
CON-PR,prévoirais,prévoirais,prévoirait,prévoirais,prévoirais,prévoirait,,,,
IMP-PR,,prévois,,,prévois,,,,,
PAR-PR,,,prévoyant,,,prévoyant,,,,
