timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,rassieds/rassois,rassieds/rassois,rassied/rassoit,rassieds/rassois,rassieds/rassois,rassied/rassoit,,,,
IND-IM,rasseyais/rassoyais,rasseyais/rassoyais,rasseyait/rassoyait,rasseyais/rassoyais,rasseyais/rassoyais,rasseyait/rassoyait,,,,
IND-FS,rassiérai/rasseyerai/rassoirai,rassiéras/rasseyeras/rassoiras,rassiéra/rasseyera/rassoira,rassiérai/rasseyerai/rassoirai,rassiéras/rasseyeras/rassoiras,rassiéra/rasseyera/rassoira,,,,
IND-PS,rassis,rassis,rassit,rassis,rassis,rassit,,,,
SUB-PR,rasseye/rassoie,rasseyes/rassoies,rasseye/rassoie,rasseye/rassoie,rasseyes/rassoies,rasseye/rassoie,,,,
SUB-IM,rassisse,rassisses,rassÃ®t,rassisse,rassisses,rassÃ®t,,,,
CON-PR,rassiérais/rasseyerais/rassoirais,rassiérais/rasseyerais/rassoirais,rassiérait/rasseyerait/rassoirait,rassiérais/rasseyerais/rassoirais,rassiérais/rasseyerais/rassoirais,rassiérait/rasseyerait/rassoirait,,,,
IMP-PR,,rassieds/rassois,,,rassieds/rassois,,,,,
PAR-PR,,,rasseyant,,,rasseyant,,,,
