timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,reçois,reçois,reçoit,reçois,reçois,reçoit,,,,
IND-IM,recevais,recevais,recevait,recevais,recevais,recevait,,,,
IND-FS,recevrai,recevras,recevra,recevrai,recevras,recevra,,,,
IND-PS,reçus,reçus,reçut,reçus,reçus,reçut,,,,
SUB-PR,reçoive,reçoives,reçoive,reçoive,reçoives,reçoive,,,,
SUB-IM,reçusse,reçusses,reçût,reçusse,reçusses,reçût,,,,
CON-PR,recevrais,recevrais,recevrait,recevrais,recevrais,recevrait,,,,
IMP-PR,,reÃ§ois,,,reÃ§ois,,,,,
PAR-PR,,,recevant,,,recevant,,,,
