timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,recomparais,recomparais,recomparaÃ®t,recomparais,recomparais,recomparaÃ®t,,,,
IND-IM,recomparaissais,recomparaissais,recomparaissait,recomparaissais,recomparaissais,recomparaissait,,,,
IND-FS,recomparaîtrai,recomparaîtras,recomparaîtra,recomparaîtrai,recomparaîtras,recomparaîtra,,,,
IND-PS,recomparus,recomparus,recomparut,recomparus,recomparus,recomparut,,,,
SUB-PR,recomparaisse,recomparaisses,recomparaisse,recomparaisse,recomparaisses,recomparaisse,,,,
SUB-IM,recomparusse,recomparusses,recomparÃ»t,recomparusse,recomparusses,recomparÃ»t,,,,
CON-PR,recomparaîtrais,recomparaîtrais,recomparaîtrait,recomparaîtrais,recomparaîtrais,recomparaîtrait,,,,
IMP-PR,,recomparais,,,recomparais,,,,,
PAR-PR,,,recomparaissant,,,recomparaissant,,,,
