timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,reconnais,reconnais,reconnaÃ®t,reconnais,reconnais,reconnaÃ®t,,,,
IND-IM,reconnaissais,reconnaissais,reconnaissait,reconnaissais,reconnaissais,reconnaissait,,,,
IND-FS,reconnaîtrai,reconnaîtras,reconnaîtra,reconnaîtrai,reconnaîtras,reconnaîtra,,,,
IND-PS,reconnus,reconnus,reconnut,reconnus,reconnus,reconnut,,,,
SUB-PR,reconnaisse,reconnaisses,reconnaisse,reconnaisse,reconnaisses,reconnaisse,,,,
SUB-IM,reconnusse,reconnusses,reconnÃ»t,reconnusse,reconnusses,reconnÃ»t,,,,
CON-PR,reconnaîtrais,reconnaîtrais,reconnaîtrait,reconnaîtrais,reconnaîtrais,reconnaîtrait,,,,
IMP-PR,,reconnais,,,reconnais,,,,,
PAR-PR,,,reconnaissant,,,reconnaissant,,,,
