timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,reconquiers,reconquiers,reconquiert,reconquiers,reconquiers,reconquiert,,,,
IND-IM,reconquérais,reconquérais,reconquérait,reconquérais,reconquérais,reconquérait,,,,
IND-FS,reconquerrai,reconquerras,reconquerra,reconquerrai,reconquerras,reconquerra,,,,
IND-PS,reconquis,reconquis,reconquit,reconquis,reconquis,reconquit,,,,
SUB-PR,reconquière,reconquières,reconquière,reconquière,reconquières,reconquière,,,,
SUB-IM,reconquisse,reconquisses,reconquÃ®t,reconquisse,reconquisses,reconquÃ®t,,,,
CON-PR,reconquerrais,reconquerrais,reconquerrait,reconquerrais,reconquerrais,reconquerrait,,,,
IMP-PR,,reconquiers,,,reconquiers,,,,,
PAR-PR,,,reconquérant,,,reconquérant,,,,
