timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,recours,recours,recourt,recours,recours,recourt,,,,
IND-IM,recourais,recourais,recourait,recourais,recourais,recourait,,,,
IND-FS,recourrai,recourras,recourra,recourrai,recourras,recourra,,,,
IND-PS,recourus,recourus,recourut,recourus,recourus,recourut,,,,
SUB-PR,recoure,recoures,recoure,recoure,recoures,recoure,,,,
SUB-IM,recourusse,recourusses,recourÃ»t,recourusse,recourusses,recourÃ»t,,,,
CON-PR,recourrais,recourrais,recourrait,recourrais,recourrais,recourrait,,,,
IMP-PR,,recours,,,recours,,,,,
PAR-PR,,,recourant,,,recourant,,,,
