timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,recouvre,recouvres,recouvre,recouvre,recouvres,recouvre,,,,
IND-IM,recouvrais,recouvrais,recouvrait,recouvrais,recouvrais,recouvrait,,,,
IND-FS,recouvrirai,recouvriras,recouvrira,recouvrirai,recouvriras,recouvrira,,,,
IND-PS,recouvris,recouvris,recouvrit,recouvris,recouvris,recouvrit,,,,
SUB-PR,recouvre,recouvres,recouvre,recouvre,recouvres,recouvre,,,,
SUB-IM,recouvrisse,recouvrisses,recouvr̨t,recouvrisse,recouvrisses,recouvr̨t,,,,
CON-PR,recouvrirais,recouvrirais,recouvrirait,recouvrirais,recouvrirais,recouvrirait,,,,
IMP-PR,,recouvre,,,recouvre,,,,,
PAR-PR,,,recouvrant,,,recouvrant,,,,
