timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,recroîs,recroîs,recroît,recroîs,recroîs,recroît,,,,
IND-IM,recroissais,recroissais,recroissait,recroissais,recroissais,recroissait,,,,
IND-FS,recroîtrai,recroîtras,recroîtra,recroîtrai,recroîtras,recroîtra,,,,
IND-PS,recrus,recrus,recrut,recrus,recrus,recrut,,,,
SUB-PR,recroisse,recroisses,recroisse,recroisse,recroisses,recroisse,,,,
SUB-IM,recrusse,recrusses,recrÃ»t,recrusse,recrusses,recrÃ»t,,,,
CON-PR,recroîtrais,recroîtrais,recroîtrait,recroîtrais,recroîtrais,recroîtrait,,,,
IMP-PR,,recrois,,,recrois,,,,,
PAR-PR,,,recroissant,,,recroissant,,,,
