timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,redécouvre,redécouvres,redécouvre,redécouvre,redécouvres,redécouvre,,,,
IND-IM,redécouvrais,redécouvrais,redécouvrait,redécouvrais,redécouvrais,redécouvrait,,,,
IND-FS,redécouvrirai,redécouvriras,redécouvrira,redécouvrirai,redécouvriras,redécouvrira,,,,
IND-PS,redécouvris,redécouvris,redécouvrit,redécouvris,redécouvris,redécouvrit,,,,
SUB-PR,redécouvre,redécouvres,redécouvre,redécouvre,redécouvres,redécouvre,,,,
SUB-IM,redécouvrisse,redécouvrisses,redécouvrît,redécouvrisse,redécouvrisses,redécouvrît,,,,
CON-PR,redécouvrirais,redécouvrirais,redécouvrirait,redécouvrirais,redécouvrirais,redécouvrirait,,,,
IMP-PR,,redécouvre,,,redécouvre,,,,,
PAR-PR,,,redécouvrant,,,redécouvrant,,,,
