timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,redéfais,redéfais,redéfait,redéfais,redéfais,redéfait,,,,
IND-IM,redéfaisais,redéfaisais,redéfaisait,redéfaisais,redéfaisais,redéfaisait,,,,
IND-FS,redéferai,redéferas,redéfera,redéferai,redéferas,redéfera,,,,
IND-PS,redéfis,redéfis,redéfit,redéfis,redéfis,redéfit,,,,
SUB-PR,redéfasse,redéfasses,redéfasse,redéfasse,redéfasses,redéfasse,,,,
SUB-IM,redéfisse,redéfisses,redéfît,redéfisse,redéfisses,redéfît,,,,
CON-PR,redéferais,redéferais,redéferait,redéferais,redéferais,redéferait,,,,
IMP-PR,,redéfais,,,redéfais,,,,,
PAR-PR,,,redÃ©faisant,,,redÃ©faisant,,,,
