1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:reluis,reluis,reluit,reluisons,reluisez,reluisent,,,,,,,,,,,,
indicatif imparfait:reluisais,reluisais,reluisait,reluisions,reluisiez,reluisaient,,,,,,,,,,,,
indicatif futur simple:reluirai,reluiras,reluira,reluirons,reluirez,reluiront,,,,,,,,,,,,
indicatif passé simple:reluisis,reluisis,reluisit,reluisîmes,reluisîtes,reluisirent,,,,,,,,,,,,
subjonctif présent:reluise,reluises,reluise,reluisions,reluisiez,reluisent,,,,,,,,,,,,
subjonctif imparfait:reluisisse,reluisisses,reluisÃ®t,reluisissions,reluisissiez,reluisissent,,,,,,,,,,,,
conditionnel présent:reluirais,reluirais,reluirait,reluirions,reluiriez,reluiraient,,,,,,,,,,,,
impératif présent:,reluis,,reluisons,reluisez,,,,,,,,,,,,,
participe présent:,,reluisant,,,,,,,,,,,,,,,
participe passé:,,,,,,,,,,,,,,,,,
