timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,remouds,remouds,remoud,remouds,remouds,remoud,,,,
IND-IM,remoulais,remoulais,remoulait,remoulais,remoulais,remoulait,,,,
IND-FS,remoudrai,remoudras,remoudra,remoudrai,remoudras,remoudra,,,,
IND-PS,remoulus,remoulus,remoulut,remoulus,remoulus,remoulut,,,,
SUB-PR,remoule,remoules,remoule,remoule,remoules,remoule,,,,
SUB-IM,remoulusse,remoulusses,remoulÃ»t,remoulusse,remoulusses,remoulÃ»t,,,,
CON-PR,remoudrais,remoudrais,remoudrait,remoudrais,remoudrais,remoudrait,,,,
IMP-PR,,remouds,,,remouds,,,,,
PAR-PR,,,remoulant,,,remoulant,,,,
