timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,renais,renais,renaÃ®t,renais,renais,renaÃ®t,,,,
IND-IM,renaissais,renaissais,renaissait,renaissais,renaissais,renaissait,,,,
IND-FS,renaîtrai,renaîtras,renaîtra,renaîtrai,renaîtras,renaîtra,,,,
IND-PS,renaquis,renaquis,renaquit,renaquis,renaquis,renaquit,,,,
SUB-PR,renaisse,renaisses,renaisse,renaisse,renaisses,renaisse,,,,
SUB-IM,renaquisse,renaquisses,renaquÃ®t,renaquisse,renaquisses,renaquÃ®t,,,,
CON-PR,renaîtrais,renaîtrais,renaîtrait,renaîtrais,renaîtrais,renaîtrait,,,,
IMP-PR,,renais,,,renais,,,,,
PAR-PR,,,renaissant,,,renaissant,,,,
PAR-PA,,,,,,,,,,
