1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:renais,renais,renaÃ®t,renaissons,renaissez,renaissent,,,,,,,,,,,,
indicatif imparfait:renaissais,renaissais,renaissait,renaissions,renaissiez,renaissaient,,,,,,,,,,,,
indicatif futur simple:renaîtrai,renaîtras,renaîtra,renaîtrons,renaîtrez,renaîtront,,,,,,,,,,,,
indicatif passé simple:renaquis,renaquis,renaquit,renaquîmes,renaquîtes,renaquirent,,,,,,,,,,,,
subjonctif présent:renaisse,renaisses,renaisse,renaissions,renaissiez,renaissent,,,,,,,,,,,,
subjonctif imparfait:renaquisse,renaquisses,renaquÃ®t,renaquissions,renaquissiez,renaquissent,,,,,,,,,,,,
conditionnel présent:renaîtrais,renaîtrais,renaîtrait,renaîtrions,renaîtriez,renaîtraient,,,,,,,,,,,,
impératif présent:,renais,,renaissons,renaissez,,,,,,,,,,,,,
participe présent:,,renaissant,,,,,,,,,,,,,,,
participe passé:,,,,,,,,,,,,,,,,,
