timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,reparais,reparais,reparaÃ®t,reparais,reparais,reparaÃ®t,,,,
IND-IM,reparaissais,reparaissais,reparaissait,reparaissais,reparaissais,reparaissait,,,,
IND-FS,reparaîtrai,reparaîtras,reparaîtra,reparaîtrai,reparaîtras,reparaîtra,,,,
IND-PS,reparus,reparus,reparut,reparus,reparus,reparut,,,,
SUB-PR,reparaisse,reparaisses,reparaisse,reparaisse,reparaisses,reparaisse,,,,
SUB-IM,reparusse,reparusses,reparÃ»t,reparusse,reparusses,reparÃ»t,,,,
CON-PR,reparaîtrais,reparaîtrais,reparaîtrait,reparaîtrais,reparaîtrais,reparaîtrait,,,,
IMP-PR,,reparais,,,reparais,,,,,
PAR-PR,,,reparaissant,,,reparaissant,,,,
