timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,repais,repais,repaÃ®t,repais,repais,repaÃ®t,,,,
IND-IM,repaissais,repaissais,repaissait,repaissais,repaissais,repaissait,,,,
IND-FS,repaîtrai,repaîtras,repaîtra,repaîtrai,repaîtras,repaîtra,,,,
IND-PS,repus,repus,reput,repus,repus,reput,,,,
SUB-PR,repaisse,repaisses,repaisse,repaisse,repaisses,repaisse,,,,
SUB-IM,repusse,repusses,repÃ»t,repusse,repusses,repÃ»t,,,,
CON-PR,repaîtrais,repaîtrais,repaîtrait,repaîtrais,repaîtrais,repaîtrait,,,,
IMP-PR,,repais,,,repais,,,,,
PAR-PR,,,repaissant,,,repaissant,,,,
