timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,requiers,requiers,requiert,requiers,requiers,requiert,,,,
IND-IM,requérais,requérais,requérait,requérais,requérais,requérait,,,,
IND-FS,requerrai,requerras,requerra,requerrai,requerras,requerra,,,,
IND-PS,requis,requis,requit,requis,requis,requit,,,,
SUB-PR,requière,requières,requière,requière,requières,requière,,,,
SUB-IM,requisse,requisses,requÃ®t,requisse,requisses,requÃ®t,,,,
CON-PR,requerrais,requerrais,requerrait,requerrais,requerrais,requerrait,,,,
IMP-PR,,requiers,,,requiers,,,,,
PAR-PR,,,requérant,,,requérant,,,,
