timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,revis,revis,revit,revis,revis,revit,,,,
IND-IM,revivais,revivais,revivait,revivais,revivais,revivait,,,,
IND-FS,revivrai,revivras,revivra,revivrai,revivras,revivra,,,,
IND-PS,revécus,revécus,revécut,revécus,revécus,revécut,,,,
SUB-PR,revive,revives,revive,revive,revives,revive,,,,
SUB-IM,revécusse,revécusses,revécût,revécusse,revécusses,revécût,,,,
CON-PR,revivrais,revivrais,revivrait,revivrais,revivrais,revivrait,,,,
IMP-PR,,revis,,,revis,,,,,
PAR-PR,,,revivant,,,revivant,,,,
