timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,revêts,revêts,,revêts,revêts,,,,,
IND-IM,revêtais,revêtais,revêtait,revêtais,revêtais,revêtait,,,,
IND-FS,revêtirai,revêtiras,revêtira,revêtirai,revêtiras,revêtira,,,,
IND-PS,revêtis,revêtis,revêtit,revêtis,revêtis,revêtit,,,,
SUB-PR,revête,revêtes,revête,revête,revêtes,revête,,,,
SUB-IM,revêtisse,revêtisses,revêtît,revêtisse,revêtisses,revêtît,,,,
CON-PR,revêtirais,revêtirais,revêtirait,revêtirais,revêtirais,revêtirait,,,,
IMP-PR,,revêts,,,revêts,,,,,
PAR-PR,,,revêtant,,,revêtant,,,,
