timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,réadmets,réadmets,réadmet,réadmets,réadmets,réadmet,,,,
IND-IM,réadmettais,réadmettais,réadmettait,réadmettais,réadmettais,réadmettait,,,,
IND-FS,réadmettrai,réadmettras,réadmettra,réadmettrai,réadmettras,réadmettra,,,,
IND-PS,réadmis,réadmis,réadmit,réadmis,réadmis,réadmit,,,,
SUB-PR,réadmette,réadmettes,réadmette,réadmette,réadmettes,réadmette,,,,
SUB-IM,réadmisse,réadmisses,réadmît,réadmisse,réadmisses,réadmît,,,,
CON-PR,réadmettrais,réadmettrais,réadmettrait,réadmettrais,réadmettrais,réadmettrait,,,,
IMP-PR,,réadmets,,,réadmets,,,,,
PAR-PR,,,réadmettant,,,réadmettant,,,,
