timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,réapprends,réapprends,réapprend,réapprends,réapprends,réapprend,,,,
IND-IM,réapprenais,réapprenais,réapprenait,réapprenais,réapprenais,réapprenait,,,,
IND-FS,réapprendrai,réapprendras,réapprendra,réapprendrai,réapprendras,réapprendra,,,,
IND-PS,réappris,réappris,réapprit,réappris,réappris,réapprit,,,,
SUB-PR,réapprenne,réapprennes,réapprenne,réapprenne,réapprennes,réapprenne,,,,
SUB-IM,réapprisse,réapprisses,réapprît,réapprisse,réapprisses,réapprît,,,,
CON-PR,réapprendrais,réapprendrais,réapprendrait,réapprendrais,réapprendrais,réapprendrait,,,,
IMP-PR,,réapprends,,,réapprends,,,,,
PAR-PR,,,réapprenant,,,réapprenant,,,,
