timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,récris,récris,récrit,récris,récris,récrit,,,,
IND-IM,récrivais,récrivais,récrivait,récrivais,récrivais,récrivait,,,,
IND-FS,récrirai,récriras,récrira,récrirai,récriras,récrira,,,,
IND-PS,récrivis,récrivis,récrivit,récrivis,récrivis,récrivit,,,,
SUB-PR,récrive,récrives,récrive,récrive,récrives,récrive,,,,
SUB-IM,récrivisse,récrivisses,récrivît,récrivisse,récrivisses,récrivît,,,,
CON-PR,récrirais,récrirais,récrirait,récrirais,récrirais,récrirait,,,,
IMP-PR,,récris,,,récris,,,,,
PAR-PR,,,récrivant,,,récrivant,,,,
