timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,réduis,réduis,réduit,réduis,réduis,réduit,,,,
IND-IM,réduisais,réduisais,réduisait,réduisais,réduisais,réduisait,,,,
IND-FS,réduirai,réduiras,réduira,réduirai,réduiras,réduira,,,,
IND-PS,réduisis,réduisis,réduisit,réduisis,réduisis,réduisit,,,,
SUB-PR,réduise,réduises,réduise,réduise,réduises,réduise,,,,
SUB-IM,réduisisse,réduisisses,réduisît,réduisisse,réduisisses,réduisît,,,,
CON-PR,réduirais,réduirais,réduirait,réduirais,réduirais,réduirait,,,,
IMP-PR,,réduis,,,réduis,,,,,
PAR-PR,,,réduisant,,,réduisant,,,,
