timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,réinscris,réinscris,réinscrit,réinscris,réinscris,réinscrit,,,,
IND-IM,réinscrivais,réinscrivais,réinscrivait,réinscrivais,réinscrivais,réinscrivait,,,,
IND-FS,réinscrirai,réinscriras,réinscrira,réinscrirai,réinscriras,réinscrira,,,,
IND-PS,réinscrivis,réinscrivis,réinscrivit,réinscrivis,réinscrivis,réinscrivit,,,,
SUB-PR,réinscrive,réinscrives,réinscrive,réinscrive,réinscrives,réinscrive,,,,
SUB-IM,réinscrivisse,réinscrivisses,réinscrivît,réinscrivisse,réinscrivisses,réinscrivît,,,,
CON-PR,réinscrirais,réinscrirais,réinscrirait,réinscrirais,réinscrirais,réinscrirait,,,,
IMP-PR,,réinscris,,,réinscris,,,,,
PAR-PR,,,réinscrivant,,,réinscrivant,,,,
