timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,réintroduis,réintroduis,réintroduit,réintroduis,réintroduis,réintroduit,,,,
IND-IM,réintroduisais,réintroduisais,réintroduisait,réintroduisais,réintroduisais,réintroduisait,,,,
IND-FS,réintroduirai,réintroduiras,réintroduira,réintroduirai,réintroduiras,réintroduira,,,,
IND-PS,réintroduisis,réintroduisis,réintroduisit,réintroduisis,réintroduisis,réintroduisit,,,,
SUB-PR,réintroduise,réintroduises,réintroduise,réintroduise,réintroduises,réintroduise,,,,
SUB-IM,réintroduisisse,réintroduisisses,réintroduisît,réintroduisisse,réintroduisisses,réintroduisît,,,,
CON-PR,réintroduirais,réintroduirais,réintroduirait,réintroduirais,réintroduirais,réintroduirait,,,,
IMP-PR,,réintroduis,,,réintroduis,,,,,
PAR-PR,,,rÃ©introduisant,,,rÃ©introduisant,,,,
