timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,répands,répands,répand,répands,répands,répand,,,,
IND-IM,répandais,répandais,répandait,répandais,répandais,répandait,,,,
IND-FS,répandrai,répandras,répandra,répandrai,répandras,répandra,,,,
IND-PS,répandis,répandis,répandit,répandis,répandis,répandit,,,,
SUB-PR,répande,répandes,répande,répande,répandes,répande,,,,
SUB-IM,répandisse,répandisses,répandît,répandisse,répandisses,répandît,,,,
CON-PR,répandrais,répandrais,répandrait,répandrais,répandrais,répandrait,,,,
IMP-PR,,répands,,,répands,,,,,
PAR-PR,,,répandant,,,répandant,,,,
