timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,réponds,réponds,répond,réponds,réponds,répond,,,,
IND-IM,répondais,répondais,répondait,répondais,répondais,répondait,,,,
IND-FS,répondrai,répondras,répondra,répondrai,répondras,répondra,,,,
IND-PS,répondis,répondis,répondit,répondis,répondis,répondit,,,,
SUB-PR,réponde,répondes,réponde,réponde,répondes,réponde,,,,
SUB-IM,répondisse,répondisses,répondît,répondisse,répondisses,répondît,,,,
CON-PR,répondrais,répondrais,répondrait,répondrais,répondrais,répondrait,,,,
IMP-PR,,réponds,,,réponds,,,,,
PAR-PR,,,répondant,,,répondant,,,,
