timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,résous,résous,résout,résous,résous,résout,,,,
IND-IM,résolvais,résolvais,résolvait,résolvais,résolvais,résolvait,,,,
IND-FS,résoudrai,résoudras,résoudra,résoudrai,résoudras,résoudra,,,,
IND-PS,résolus,résolus,résolut,résolus,résolus,résolut,,,,
SUB-PR,résolve,résolves,résolve,résolve,résolves,résolve,,,,
SUB-IM,résolusse,résolusses,résolût,résolusse,résolusses,résolût,,,,
CON-PR,résoudrais,résoudrais,résoudrait,résoudrais,résoudrais,résoudrait,,,,
IMP-PR,,résous,,,résous,,,,,
PAR-PR,,,résolvant,,,résolvant,,,,
