timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,rétreins,rétreins,rétreint,rétreins,rétreins,rétreint,,,,
IND-IM,rétreignais,rétreignais,rétreignait,rétreignais,rétreignais,rétreignait,,,,
IND-FS,rétreindrai,rétreindras,rétreindra,rétreindrai,rétreindras,rétreindra,,,,
IND-PS,rétreignis,rétreignis,rétreignit,rétreignis,rétreignis,rétreignit,,,,
SUB-PR,rétreigne,rétreignes,rétreigne,rétreigne,rétreignes,rétreigne,,,,
SUB-IM,rétreignisse,rétreignisses,rétreignît,rétreignisse,rétreignisses,rétreignît,,,,
CON-PR,rétreindrais,rétreindrais,rétreindrait,rétreindrais,rétreindrais,rétreindrait,,,,
IMP-PR,,rétreins,,,rétreins,,,,,
PAR-PR,,,rétreignant,,,rétreignant,,,,
