timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,réélis,réélis,réélit,réélis,réélis,réélit,,,,
IND-IM,réélisais,réélisais,réélisait,réélisais,réélisais,réélisait,,,,
IND-FS,réélirai,rééliras,réélira,réélirai,rééliras,réélira,,,,
IND-PS,réélus,réélus,réélut,réélus,réélus,réélut,,,,
SUB-PR,réélise,réélises,réélise,réélise,réélises,réélise,,,,
SUB-IM,réélusse,réélusses,réélût,réélusse,réélusses,réélût,,,,
CON-PR,réélirais,réélirais,réélirait,réélirais,réélirais,réélirait,,,,
IMP-PR,,réélis,,,réélis,,,,,
PAR-PR,,,réélisant,,,réélisant,,,,
