timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,secours,secours,secourt,secours,secours,secourt,,,,
IND-IM,secourais,secourais,secourait,secourais,secourais,secourait,,,,
IND-FS,secourrai,secourras,secourra,secourrai,secourras,secourra,,,,
IND-PS,secourus,secourus,secourut,secourus,secourus,secourut,,,,
SUB-PR,secoure,secoures,secoure,secoure,secoures,secoure,,,,
SUB-IM,secourusse,secourusses,secourÃ»t,secourusse,secourusses,secourÃ»t,,,,
CON-PR,secourrais,secourrais,secourrait,secourrais,secourrais,secourrait,,,,
IMP-PR,,secours,,,secours,,,,,
PAR-PR,,,secourant,,,secourant,,,,
