timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,soustrais,soustrais,soustrait,soustrais,soustrais,soustrait,,,,
IND-IM,soustrayais,soustrayais,soustrayait,soustrayais,soustrayais,soustrayait,,,,
IND-FS,soustrairai,soustrairas,soustraira,soustrairai,soustrairas,soustraira,,,,
IND-PS,,,,,,,,,,
SUB-PR,soustraie,soustraies,soustraie,soustraie,soustraies,soustraie,,,,
SUB-IM,,,,,,,,,,
CON-PR,soustrairais,soustrairais,soustrairait,soustrairais,soustrairais,soustrairait,,,,
IMP-PR,,soustrais,,,soustrais,,,,,
PAR-PR,,,soustrayant,,,soustrayant,,,,
