timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,survis,survis,survit,survis,survis,survit,,,,
IND-IM,survivais,survivais,survivait,survivais,survivais,survivait,,,,
IND-FS,survivrai,survivras,survivra,survivrai,survivras,survivra,,,,
IND-PS,survécus,survécus,survécut,survécus,survécus,survécut,,,,
SUB-PR,survive,survives,survive,survive,survives,survive,,,,
SUB-IM,survécusse,survécusses,survécût,survécusse,survécusses,survécût,,,,
CON-PR,survivrais,survivrais,survivrait,survivrais,survivrais,survivrait,,,,
IMP-PR,,survis,,,survis,,,,,
PAR-PR,,,survivant,,,survivant,,,,
