timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,séduis,séduis,séduit,séduis,séduis,séduit,,,,
IND-IM,séduisais,séduisais,séduisait,séduisais,séduisais,séduisait,,,,
IND-FS,séduirai,séduiras,séduira,séduirai,séduiras,séduira,,,,
IND-PS,séduisis,séduisis,séduisit,séduisis,séduisis,séduisit,,,,
SUB-PR,séduise,séduises,séduise,séduise,séduises,séduise,,,,
SUB-IM,séduisisse,séduisisses,séduisît,séduisisse,séduisisses,séduisît,,,,
CON-PR,séduirais,séduirais,séduirait,séduirais,séduirais,séduirait,,,,
IMP-PR,,séduis,,,séduis,,,,,
PAR-PR,,,séduisant,,,séduisant,,,,
