timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,transparais,transparais,transparaÃ®t,transparais,transparais,transparaÃ®t,,,,
IND-IM,transparaissais,transparaissais,transparaissait,transparaissais,transparaissais,transparaissait,,,,
IND-FS,transparaîtrai,transparaîtras,transparaîtra,transparaîtrai,transparaîtras,transparaîtra,,,,
IND-PS,transparus,transparus,transparut,transparus,transparus,transparut,,,,
SUB-PR,transparaisse,transparaisses,transparaisse,transparaisse,transparaisses,transparaisse,,,,
SUB-IM,transparusse,transparusses,transparÃ»t,transparusse,transparusses,transparÃ»t,,,,
CON-PR,transparaîtrais,transparaîtrais,transparaîtrait,transparaîtrais,transparaîtrais,transparaîtrait,,,,
IMP-PR,,transparais,,,transparais,,,,,
PAR-PR,,,transparaissant,,,transparaissant,,,,
