timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,veux,veux,veut,veux,veux,veut,,,,
IND-IM,voulais,voulais,voulait,voulais,voulais,voulait,,,,
IND-FS,voudrai,voudras,voudra,voudrai,voudras,voudra,,,,
IND-PS,voulus,voulus,voulut,voulus,voulus,voulut,,,,
SUB-PR,veuille,veuilles,veuille,veuille,veuilles,veuille,,,,
SUB-IM,voulusse,voulusses,voulÃ»t,voulusse,voulusses,voulÃ»t,,,,
CON-PR,voudrais,voudrais,voudrait,voudrais,voudrais,voudrait,,,,
IMP-PR,,veuille,,,veuille,,,,,
PAR-PR,,,voulant,,,voulant,,,,
