timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,ébats,ébats,,ébats,ébats,,,,,
IND-IM,ébattais,ébattais,ébattait,ébattais,ébattais,ébattait,,,,
IND-FS,ébattrai,ébattras,ébattra,ébattrai,ébattras,ébattra,,,,
IND-PS,ébattis,ébattis,ébattit,ébattis,ébattis,ébattit,,,,
SUB-PR,ébatte,ébattes,ébatte,ébatte,ébattes,ébatte,,,,
SUB-IM,ébattisse,ébattisses,ébattît,ébattisse,ébattisses,ébattît,,,,
CON-PR,ébattrais,ébattrais,ébattrait,ébattrais,ébattrais,ébattrait,,,,
IMP-PR,,ébats,,,ébats,,,,,
PAR-PR,,,Ã©battant,,,Ã©battant,,,,
