timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,échoit/échet,échoient/échéent,,échoit/échet,échoient/échéent,,,,,
IND-IM,échoyait,échoyaient,,échoyait,échoyaient,,,,,
IND-FS,échoira/écherra,échoiront/écherront,,échoira/écherra,échoiront/écherront,,,,,
IND-PS,échut,échurent,,échut,échurent,,,,,
SUB-PR,échoie,échoient,,échoie,échoient,,,,,
SUB-IM,échût,échussent,,échût,échussent,,,,,
CON-PR,échoirait/écherrait,échoiraient/écherraient,,échoirait/écherrait,échoiraient/écherraient,,,,,
IMP-PR,,,,,,,,,,
PAR-PR,,,échéant,,,échéant,,,,
