timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,éconduis,éconduis,éconduit,éconduis,éconduis,éconduit,,,,
IND-IM,éconduisais,éconduisais,éconduisait,éconduisais,éconduisais,éconduisait,,,,
IND-FS,éconduirai,éconduiras,éconduira,éconduirai,éconduiras,éconduira,,,,
IND-PS,éconduisis,éconduisis,éconduisit,éconduisis,éconduisis,éconduisit,,,,
SUB-PR,éconduise,éconduises,éconduise,éconduise,éconduises,éconduise,,,,
SUB-IM,éconduisisse,éconduisisses,éconduisît,éconduisisse,éconduisisses,éconduisît,,,,
CON-PR,éconduirais,éconduirais,éconduirait,éconduirais,éconduirais,éconduirait,,,,
IMP-PR,,éconduis,,,éconduis,,,,,
PAR-PR,,,Ã©conduisant,,,Ã©conduisant,,,,
