timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,écris,écris,écrit,écris,écris,écrit,,,,
IND-IM,écrivais,écrivais,écrivait,écrivais,écrivais,écrivait,,,,
IND-FS,écrirai,écriras,écrira,écrirai,écriras,écrira,,,,
IND-PS,écrivis,écrivis,écrivit,écrivis,écrivis,écrivit,,,,
SUB-PR,écrive,écrives,écrive,écrive,écrives,écrive,,,,
SUB-IM,écrivisse,écrivisses,écrivît,écrivisse,écrivisses,écrivît,,,,
CON-PR,écrirais,écrirais,écrirait,écrirais,écrirais,écrirait,,,,
IMP-PR,,écris,,,écris,,,,,
PAR-PR,,,Ã©crivant,,,Ã©crivant,,,,
