timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,émouds,émouds,émoud,émouds,émouds,émoud,,,,
IND-IM,émoulais,émoulais,émoulait,émoulais,émoulais,émoulait,,,,
IND-FS,émoudrai,émoudras,émoudra,émoudrai,émoudras,émoudra,,,,
IND-PS,émoulus,émoulus,émoulut,émoulus,émoulus,émoulut,,,,
SUB-PR,émoule,émoules,émoule,émoule,émoules,émoule,,,,
SUB-IM,émoulusse,émoulusses,émoulût,émoulusse,émoulusses,émoulût,,,,
CON-PR,émoudrais,émoudrais,émoudrait,émoudrais,émoudrais,émoudrait,,,,
IMP-PR,,émouds,,,émouds,,,,,
PAR-PR,,,Ã©moulant,,,Ã©moulant,,,,
