timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,épands,épands,épand,épands,épands,épand,,,,
IND-IM,épandais,épandais,épandait,épandais,épandais,épandait,,,,
IND-FS,épandrai,épandras,épandra,épandrai,épandras,épandra,,,,
IND-PS,épandis,épandis,épandit,épandis,épandis,épandit,,,,
SUB-PR,épande,épandes,épande,épande,épandes,épande,,,,
SUB-IM,épandisse,épandisses,épandît,épandisse,épandisses,épandît,,,,
CON-PR,épandrais,épandrais,épandrait,épandrais,épandrais,épandrait,,,,
IMP-PR,,épands,,,épands,,,,,
PAR-PR,,,Ã©pandant,,,Ã©pandant,,,,
