timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,éprends,éprends,éprend,éprends,éprends,éprend,,,,
IND-IM,éprenais,éprenais,éprenait,éprenais,éprenais,éprenait,,,,
IND-FS,éprendrai,éprendras,éprendra,éprendrai,éprendras,éprendra,,,,
IND-PS,épris,épris,éprit,épris,épris,éprit,,,,
SUB-PR,éprenne,éprennes,éprenne,éprenne,éprennes,éprenne,,,,
SUB-IM,éprisse,éprisses,éprît,éprisse,éprisses,éprît,,,,
CON-PR,éprendrais,éprendrais,éprendrait,éprendrais,éprendrais,éprendrait,,,,
IMP-PR,,éprends,,,éprends,,,,,
PAR-PR,,,Ã©prenant,,,Ã©prenant,,,,
