timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,équivaux,équivaux,équivaut,équivaux,équivaux,équivaut,,,,
IND-IM,équivalais,équivalais,équivalait,équivalais,équivalais,équivalait,,,,
IND-FS,équivaudrai,équivaudras,équivaudra,équivaudrai,équivaudras,équivaudra,,,,
IND-PS,équivalus,équivalus,équivalut,équivalus,équivalus,équivalut,,,,
SUB-PR,équivaille,équivailles,équivaille,équivaille,équivailles,équivaille,,,,
SUB-IM,équivalusse,équivalusses,équivalût,équivalusse,équivalusses,équivalût,,,,
CON-PR,équivaudrais,équivaudrais,équivaudrait,équivaudrais,équivaudrais,équivaudrait,,,,
IMP-PR,,équivaux,,,équivaux,,,,,
PAR-PR,,,Ã©quivalant,,,Ã©quivalant,,,,
