timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,étends,étends,étend,étends,étends,étend,,,,
IND-IM,étendais,étendais,étendait,étendais,étendais,étendait,,,,
IND-FS,étendrai,étendras,étendra,étendrai,étendras,étendra,,,,
IND-PS,étendis,étendis,étendit,étendis,étendis,étendit,,,,
SUB-PR,étende,étendes,étende,étende,étendes,étende,,,,
SUB-IM,étendisse,étendisses,étendît,étendisse,étendisses,étendît,,,,
CON-PR,étendrais,étendrais,étendrait,étendrais,étendrais,étendrait,,,,
IMP-PR,,étends,,,étends,,,,,
PAR-PR,,,Ã©tendant,,,Ã©tendant,,,,
