timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,étreins,étreins,étreint,étreins,étreins,étreint,,,,
IND-IM,étreignais,étreignais,étreignait,étreignais,étreignais,étreignait,,,,
IND-FS,étreindrai,étreindras,étreindra,étreindrai,étreindras,étreindra,,,,
IND-PS,étreignis,étreignis,étreignit,étreignis,étreignis,étreignit,,,,
SUB-PR,étreigne,étreignes,étreigne,étreigne,étreignes,étreigne,,,,
SUB-IM,étreignisse,étreignisses,étreignît,étreignisse,étreignisses,étreignît,,,,
CON-PR,étreindrais,étreindrais,étreindrait,étreindrais,étreindrais,étreindrait,,,,
IMP-PR,,étreins,,,étreins,,,,,
PAR-PR,,,Ã©treignant,,,Ã©treignant,,,,
